	name	musicbrainz_id	id
93	Our Mercury	89116de7-0aa7-47f5-a36c-c7f7cadd7013	21603
94	John X	de6c91e4-bbc9-4ec6-9142-ba47654a7fa9	21624
95	Little Sammy Davis	bb0475ad-f101-4a2a-83b7-d06eae8f7b21	21986
96	Live by the fist		22128
97	Lukas Sherfey	61337ef9-3e4d-4228-870d-895e3caa1c6a	22141
98	Jann Wilde & Rose Avenue	4c457892-7f68-4c93-8bc4-df590b29cb3a	22288
99	Tidemouth		22541
100	The Bridge Band	aa31b48f-f6d8-4d30-9a92-4f16ec0fdde7	23052
101	Fernando Kabusacki	be28510c-8263-40e7-9613-573af995c6c4	24072
102	The Voids	feca7cbb-d3ad-4b38-9399-a00aa9f9625f	24256
103	Great Bloomers	1ae2f002-0bea-4bff-8e18-fd70f96a2395	24918
104	Outer Spacist	fed64c4b-4ccd-4ea4-b717-93cc5d6e7086	24937
105	Kid Meets Cougar	992f1e3f-86a3-4b6c-b164-2fdfbe83531f	25631
106	Evan Brass	ca16ed4f-79b0-4369-b5bd-968cfaaaf7e7	25700
107	Zenia	a4f4769a-edaa-4490-a1aa-d35deb4f07e7	25741
108	m t h . E l e c t r o	902286c2-e7d1-4ee8-adb6-216d6a71a05c	25946
109	BMW (Music)		26058
110	77Klash		26170
111	Clairmont		26207
112	Marc Decoca	72139ae8-cc45-40e9-8a36-d29ea8b66847	26675
113	The Gertrudes	c8394169-6e07-4a4c-8adc-7055b4421279	26708
114	Bicycle Records	69ba1791-7b83-4c23-9995-6a47fde9c01f	26966
115	J Laine		27084
116	provincial parks	7a6f9b53-8dd4-4372-b900-22988c252da4	27431
117	Le Rug	3917de50-0ac1-4a1d-b680-c903f07c6ea2	27700
118	Ketch Harbour Wolves	0f05d2c9-f90c-47c1-87a9-d9c99aa0be20	27745
119	Peter Friestedt	0a8fe595-a14e-42b0-ad24-d587a491d54b	28555
120	Fuck Montreal	87cf6aa6-a005-445b-8920-1c5b3fdfbfaa	28561
121	Ed in the Refridgerators	e8de09ea-2bfd-43c2-851b-0ccd2109e319	28731
122	Uncle Monsterface	33a32e1e-9857-4743-9532-344fb6f0c4eb	28738
123	Peter Murray	6ab4a566-a279-441a-af5f-4d47459e1c18	28932
124	With Horses In Her Eyes	e026d5d7-f08d-4807-941c-88765e78b02f	29315
125	Arlequin	1d811df7-e264-4cab-9d12-38ad1af5e415	29347
126	SIR PSYCH		29358
